file_name,Orientation Loss,Edge Coverage,Average Thickness,Average Separation,Distance Entropy,Zoom,Focus,Contrast
['data/modified_images/50000/pillar3_top_22.tif'],144.6461639,19.68975067,1.77368176,1.932347417,0.997889507,50000,7.5,66.5874
['data/modified_images/50000/pillar4_bottom_11.tif'],178.7527466,19.65122223,1.667039156,1.988135695,0.991745197,50000,7.6,66.4289
['data/modified_images/50000/pillar4_bottom_21.tif'],203.8982849,19.23217773,1.660483956,2.075115919,0.984993789,50000,7.6,66.4289
['data/modified_images/50000/pillar4_bottom_22.tif'],207.9154358,19.44904327,1.649814725,2.079835892,0.984548439,50000,7.6,66.4289
['data/modified_images/50000/pillar4_crown_11.tif'],126.8702011,19.54135895,1.73971498,1.904706359,0.997416326,50000,7.5,65.8108
['data/modified_images/50000/pillar4_crown_12.tif'],121.2827454,19.68860626,1.726478815,1.912063241,0.997449187,50000,7.5,65.8108
['data/modified_images/50000/pillar4_crown_22.tif'],85.81501007,18.29891205,1.895364881,1.987278104,0.999802274,50000,7.5,65.8108
['data/modified_images/50000/pillar4_middle_11.tif'],105.5876617,20.06511688,1.754468203,1.877724767,0.998789761,50000,7.6,65.8108
['data/modified_images/50000/pillar4_middle_12.tif'],106.1450729,20.09372711,1.735681653,1.883072138,0.998233466,50000,7.6,65.8108
['data/modified_images/50000/pillar4_middle_21.tif'],100.9446411,19.64015961,1.784773469,1.905636191,0.998752951,50000,7.6,65.8108
['data/modified_images/50000/pillar4_middle_22.tif'],96.74820709,19.73819733,1.787273765,1.890088081,0.99924146,50000,7.6,65.8108
['data/modified_images/50000/pillar4_top_11.tif'],114.759964,20.35827637,1.734435439,1.868214726,0.998944999,50000,7.6,65.8108
['data/modified_images/50000/pillar4_top_12.tif'],114.6502609,20.77674866,1.708365321,1.81660378,0.99889774,50000,7.6,65.8108
['data/modified_images/50000/pillar4_top_21.tif'],108.0415039,20.38974762,1.741589665,1.87202239,0.999164256,50000,7.6,65.8108
['data/modified_images/50000/pillar4_top_22.tif'],110.3339081,20.25108337,1.730034351,1.889255166,0.997929827,50000,7.6,65.8108
['data/modified_images/50000/sample_10_001_11.tif'],89.83005524,18.32199097,1.855572462,1.934102893,0.999903244,50000,8.9,71.8557
['data/modified_images/50000/sample_10_001_12.tif'],87.78995514,18.70059967,1.837218285,1.870588183,0.99998825,50000,8.9,71.8557
['data/modified_images/50000/sample_10_001_22.tif'],89.14506531,18.55888367,1.828849912,1.934945941,0.999667252,50000,8.9,71.8557
['data/modified_images/50000/sample_4_001_11.tif'],92.05420685,19.26956177,1.859834433,1.909544587,0.999971836,50000,6.8,72.9474
['data/modified_images/50000/sample_4_001_21.tif'],91.83501434,19.35749054,1.886787415,1.905569434,0.999999093,50000,6.8,72.9474
['data/modified_images/50000/sample_4_001_22.tif'],98.42578888,18.99261475,1.908792496,1.952895761,0.999972587,50000,6.8,72.9474
['data/modified_images/50000/sample_4_002_11.tif'],108.2289581,19.41680908,1.799069047,1.939501166,0.999110966,50000,6.9,72.9474
['data/modified_images/50000/sample_4_002_12.tif'],103.737236,19.39296722,1.795107841,1.958028078,0.998616638,50000,6.9,72.9474
['data/modified_images/50000/sample_4_002_22.tif'],97.56673431,19.3567276,1.774883628,1.961212993,0.998250864,50000,6.9,72.9474
['data/modified_images/50000/sample_4_003_11.tif'],149.7286835,18.84593964,1.782783389,2.055018425,0.995832386,50000,6.7,72.9474
['data/modified_images/50000/sample_4_003_12.tif'],132.2350769,18.33839417,1.729047894,2.184856176,0.988145012,50000,6.7,72.9474
['data/modified_images/50000/sample_4_003_21.tif'],131.4590607,18.44882965,1.795741558,2.109375715,0.994959667,50000,6.7,72.9474
['data/modified_images/50000/sample_4_004_11.tif'],84.1581192,16.8056488,1.892493129,2.291021347,0.993530089,50000,6.7,71.1882
['data/modified_images/50000/sample_4_004_12.tif'],89.92323303,17.27619171,1.900316715,2.23397994,0.997402461,50000,6.7,71.1882
['data/modified_images/50000/sample_4_004_21.tif'],87.49835968,16.81747437,1.88274014,2.344689846,0.992682721,50000,6.7,71.1882
['data/modified_images/50000/sample_4_004_22.tif'],79.12193298,16.80736542,1.930405259,2.286003351,0.995845781,50000,6.7,71.1882
['data/modified_images/50000/sample_4_005_11.tif'],100.7889557,17.66433716,1.891590595,2.158377647,0.997451152,50000,6.6,71.1882
['data/modified_images/50000/sample_4_005_12.tif'],91.57038879,17.24643707,1.933247924,2.21349597,0.997174196,50000,6.6,71.1882
['data/modified_images/50000/sample_4_005_21.tif'],95.24521637,17.21458435,1.927594423,2.272442341,0.995996624,50000,6.6,71.1882
['data/modified_images/50000/sample_4_006_11.tif'],96.62797546,17.41771698,1.989783525,2.157611847,0.998933599,50000,6.6,70.4116
['data/modified_images/50000/sample_4_006_12.tif'],86.0867691,18.37043762,1.902699828,2.049603939,0.999301624,50000,6.6,70.4116
['data/modified_images/50000/sample_4_006_21.tif'],98.41553497,17.34924316,2.018363476,2.188079834,0.998628667,50000,6.6,70.4116
['data/modified_images/50000/sample_4_006_22.tif'],89.76866913,18.05744171,1.962063432,2.034612894,0.999765338,50000,6.6,70.4116
['data/modified_images/50000/sample_4_007_11.tif'],72.67653656,16.46633148,1.895994663,2.339260817,0.992094473,50000,6.7,70.4116
['data/modified_images/50000/sample_4_007_21.tif'],82.5249939,16.4024353,1.935800195,2.308887959,0.99571171,50000,6.7,70.4116
['data/modified_images/50000/sample_4_007_22.tif'],86.02891541,16.614151,1.945741534,2.295616865,0.997132669,50000,6.7,70.4116
['data/modified_images/50000/sample_4_008_11.tif'],72.13218689,16.25537872,2.042063713,2.332385778,0.998892569,50000,6.6,69.3972
['data/modified_images/50000/sample_4_008_12.tif'],68.09247589,16.38526917,1.968104124,2.34026885,0.996213653,50000,6.6,69.3972
['data/modified_images/50000/sample_4_008_22.tif'],72.1842804,16.5309906,1.933671594,2.395239353,0.995440668,50000,6.6,69.3972
['data/modified_images/50000/sampleICE_10_001_11.tif'],113.6578217,17.25196838,1.882783771,2.162214518,0.996723022,50000,5.8,58.584
['data/modified_images/50000/sampleICE_10_001_12.tif'],123.1884842,17.68131256,1.872168064,2.122787952,0.997259736,50000,5.8,58.584
['data/modified_images/50000/sampleICE_10_001_22.tif'],124.0003281,16.83349609,1.87833941,2.274330616,0.992299939,50000,5.8,58.584
['data/modified_images/100000/sample_10_001_11.tif'],44.75011826,17.72708893,2.114015341,1.866623282,0.992420329,100000,8.9,70.1598
['data/modified_images/100000/sample_10_001_12.tif'],42.42125702,18.10131073,2.073864222,1.825199246,0.990835663,100000,8.9,70.1598
['data/modified_images/100000/sample_10_001_22.tif'],43.3273735,18.22757721,2.06774354,1.811674714,0.989560481,100000,8.9,70.1598
['data/modified_images/100000/sample_4_001_11.tif'],97.22181702,15.55786133,2.180422544,2.295816898,0.999850485,100000,6.8,72.9474
['data/modified_images/100000/sample_4_001_12.tif'],96.16396332,15.88516235,2.172340393,2.200101852,0.999996171,100000,6.8,72.9474
['data/modified_images/100000/sample_4_001_21.tif'],98.85952759,15.71273804,2.210182905,2.25374651,0.999949563,100000,6.8,72.9474
['data/modified_images/100000/sample_4_002_11.tif'],83.54946899,16.53575897,2.098931551,2.165636063,0.999985285,100000,6.9,72.9474
['data/modified_images/100000/sample_4_002_21.tif'],83.0789032,16.7131424,2.077727318,2.140439749,0.999973396,100000,6.9,72.9474
['data/modified_images/100000/sample_4_002_22.tif'],71.8167572,17.65098572,1.978505969,2.055479527,0.999993515,100000,6.9,72.9474
['data/modified_images/100000/sample_4_003_11.tif'],102.8887482,15.17753601,2.207859755,2.455005407,0.998063317,100000,6.7,72.9474
['data/modified_images/100000/sample_4_003_12.tif'],94.03566742,15.00377655,2.104922056,2.461435556,0.995195547,100000,6.7,72.9474
['data/modified_images/100000/sample_4_003_21.tif'],86.24658966,15.24085999,2.069431067,2.471208096,0.995937284,100000,6.7,72.9474
['data/modified_images/100000/sample_4_004_11.tif'],57.21194839,13.87672424,2.39068079,2.602065325,0.999130187,100000,6.7,71.1882
['data/modified_images/100000/sample_4_004_12.tif'],60.77933502,13.78898621,2.424033165,2.486425638,0.99997452,100000,6.7,71.1882
['data/modified_images/100000/sample_4_004_21.tif'],59.33626175,14.37015533,2.35283947,2.531178474,0.999872142,100000,6.7,71.1882
['data/modified_images/100000/sample_4_004_22.tif'],60.10188675,14.22920227,2.386294603,2.491735697,0.999995754,100000,6.7,71.1882
['data/modified_images/100000/sample_4_005_11.tif'],73.07030487,13.73004913,2.461303234,2.601339817,0.999996778,100000,6.6,71.1882
['data/modified_images/100000/sample_4_005_21.tif'],67.37728119,13.9705658,2.396761179,2.50858736,0.999926617,100000,6.6,71.1882
['data/modified_images/100000/sample_4_005_22.tif'],71.71303558,14.27059174,2.422551632,2.430397272,0.998763459,100000,6.6,71.1882
['data/modified_images/100000/sample_4_0051_11.tif'],69.2131424,13.83228302,2.535508156,2.456863403,0.998506503,100000,6.6,70.4116
['data/modified_images/100000/sample_4_0051_12.tif'],55.34970856,14.63890076,2.346517086,2.363545179,0.999282309,100000,6.6,70.4116
['data/modified_images/100000/sample_4_0051_21.tif'],71.59077454,13.78707886,2.588545561,2.452180862,0.99851501,100000,6.6,70.4116
['data/modified_images/100000/sample_4_006_11.tif'],57.22294998,13.78822327,2.436136723,2.600438833,0.999991648,100000,6.7,70.4116
['data/modified_images/100000/sample_4_006_12.tif'],64.08283997,13.49506378,2.506072521,2.539266348,0.998452915,100000,6.7,70.4116
['data/modified_images/100000/sample_4_006_21.tif'],65.13720703,13.48686218,2.506272554,2.588469028,0.999300253,100000,6.7,70.4116
['data/modified_images/100000/sample_4_006_22.tif'],64.53678894,13.42887878,2.5319736,2.579832077,0.998913608,100000,6.7,70.4116
['data/modified_images/100000/sample_4_008_11.tif'],48.90834045,13.14334869,2.471752882,2.807434797,0.998508006,100000,6.6,69.3972
['data/modified_images/100000/sample_4_008_21.tif'],45.0447998,13.34018707,2.44651103,2.804754972,0.995514862,100000,6.6,69.3972
['data/modified_images/100000/sample_4_008_22.tif'],56.09065628,13.57860565,2.545342445,2.647892952,0.999751847,100000,6.6,69.3972
['data/modified_images/100000/sampleICE_10_001_12.tif'],79.1971283,14.35661316,2.279878378,2.524279118,0.999324724,100000,5.8,58.584
['data/modified_images/100000/sampleICE_10_001_21.tif'],88.95688629,14.08157349,2.39426446,2.618880749,0.99930402,100000,5.8,58.584
['data/modified_images/100000/sampleICE_10_001_22.tif'],80.10688019,14.36882019,2.272926092,2.51875639,0.99925532,100000,5.8,58.584
